Provincia de Misiones,Provincia,Misiones,IGN,54,MI,AR-N
Provincia de San Luis,Provincia,San Luis,IGN,74,SL,AR-D
Provincia de San Juan,Provincia,San Juan,IGN,70,SJ,AR-J
Provincia de Entre Ríos,Provincia,Entre Ríos,IGN,30,ER,AR-E
Provincia de Santa Cruz,Provincia,Santa Cruz,IGN,78,SC,AR-Z
Provincia de Río Negro,Provincia,Río Negro,IGN,62,RN,AR-R
Provincia del Chubut,Provincia,Chubut,IGN,26,CT,AR-U
Provincia de Córdoba,Provincia,Córdoba,IGN,14,CB,AR-X
Provincia de Mendoza,Provincia,Mendoza,IGN,50,MZ,AR-M
Provincia de La Rioja,Provincia,La Rioja,IGN,46,LR,AR-F
Provincia de Catamarca,Provincia,Catamarca,IGN,10,CA,AR-K
Provincia de La Pampa,Provincia,La Pampa,IGN,42,LP,AR-L
Provincia de Santiago del Estero,Provincia,Santiago del Estero,IGN,86,SE,AR-G
Provincia de Corrientes,Provincia,Corrientes,IGN,18,CR,AR-W
Provincia de Santa Fe,Provincia,Santa Fe,IGN,82,SF,AR-S
Provincia de Tucumán,Provincia,Tucumán,IGN,90,TU,AR-T
Provincia del Neuquén,Provincia,Neuquén,IGN,58,NQ,AR-Q
Provincia de Salta,Provincia,Salta,IGN,66,SA,AR-A
Provincia del Chaco,Provincia,Chaco,IGN,22,CH,AR-H
Provincia de Formosa,Provincia,Formosa,IGN,34,FO,AR-P
Provincia de Jujuy,Provincia,Jujuy,IGN,38,JY,AR-Y
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma,Ciudad Autónoma de Buenos Aires,IGN,2,CABA,AR-C
Provincia de Buenos Aires,Provincia,Buenos Aires,IGN,6,BA,AR-B
Provincia de Tierra-del-Fuego Antártida e Islas-del-Atlántico-Sur,Provincia,Tierra del Fuego,IGN,94,TF,AR-V

1993,Buenos Aires,0,0,0,0,0
1993,Catamarca,0,0,0,0,0
1993,Chaco,0,0,0,0,0
1993,Chubut,10,6,0,133,0
1993,Córdoba,59995,250,0,172696,0
1993,Corrientes,0,918,0,809,0
1993,Entre Ríos,75,0,0,0,0
1993,Formosa,0,26,0,5,0
1993,Jujuy,0,0,0,0,0
1993,La Pampa,1207510,0,0,0,0
1993,La Rioja,0,0,0,0,0
1993,Mendoza,0,0,0,0,0
1993,Misiones,0,0,0,0,0
1993,Neuquén,282,6,0,53,0
1993,Río Negro,108,0,0,3,0
1993,Salta,0,0,0,0,0
1993,San Juan,0,0,0,0,0
1993,San Luis,0,0,0,330147,0
1993,Santa Cruz,727,0,0,5624,0
1993,Santa Fe,0,0,0,0,0
1993,Santiago del Estero,9100,0,0,3900,0
1993,Tierra del Fuego,28,0,0,0,0
1993,Tucumán,3703,4,0,705,0
1994,Buenos Aires,0,0,0,0,0
1994,Catamarca,0,0,0,0,0
1994,Chaco,0,0,0,0,0
1994,Chubut,2158,39,0,1100,0
1994,Córdoba,187812,100,0,52284,0
1994,Corrientes,0,72,0,68,0
1994,Entre Ríos,91,0,0,0,0
1994,Formosa,0,0,0,9,0
1994,Jujuy,0,0,0,0,0
1994,La Pampa,167890,0,0,0,453950
1994,La Rioja,10600,0,0,36550,0
1994,Mendoza,0,0,0,0,0
1994,Misiones,0,0,0,0,0
1994,Neuquén,0,150,0,17900,0
1994,Río Negro,3063,146,0,62,0
1994,Salta,0,0,0,0,0
1994,San Juan,0,0,0,0,0
1994,San Luis,0,0,0,0,25513
1994,Santa Cruz,43,0,0,1641,0
1994,Santa Fe,0,0,0,0,0
1994,Santiago del Estero,35000,0,0,15000,0
1994,Tierra del Fuego,68,0,0,252,0
1994,Tucumán,0,0,0,65,0
1995,Buenos Aires,0,0,0,3000,0
1995,Catamarca,0,0,0,0,0
1995,Chaco,0,0,0,0,0
1995,Chubut,983,49,0,2041,0
1995,Córdoba,122260,1530,0,176849,0
1995,Corrientes,0,3562,0,4337,0
1995,Entre Ríos,0,2269,0,0,0
1995,Formosa,500,0,0,0,0
1995,Jujuy,0,0,0,0,0
1995,La Pampa,148720,0,0,0,0
1995,La Rioja,2,0,0,4512,0
1995,Mendoza,0,0,0,0,0
1995,Misiones,0,0,0,0,0
1995,Neuquén,1125,1,0,19228,0
1995,Río Negro,123,42,0,9567,0
1995,Salta,255,240,0,165,0
1995,San Juan,0,0,0,0,0
1995,San Luis,75311,0,0,121001,0
1995,Santa Cruz,0,0,0,5695,0
1995,Santa Fe,0,0,0,0,0
1995,Santiago del Estero,13919,0,0,13375,0
1995,Tierra del Fuego,3,0,0,213,0
1995,Tucumán,23,0,0,46,0
1996,Buenos Aires,0,100,0,850,0
1996,Catamarca,68728,0,0,79981,0
1996,Chaco,2540,0,0,3644,0
1996,Chubut,9640,76,0,1741,0
1996,Córdoba,43325,0,0,6487,0
1996,Corrientes,0,1232,0,5749,0
1996,Entre Ríos,449,1107,0,0,0
1996,Formosa,0,0,0,4530,0
1996,Jujuy,1800,0,0,180,0
1996,La Pampa,20600,0,0,0,0
1996,La Rioja,770,50,0,155,0
1996,Mendoza,2500,0,0,4115,0
1996,Misiones,2430,2235,0,640,0
1996,Neuquén,10,11,0,70237,0
1996,Río Negro,3337,3996,0,26411,0
1996,Salta,815,861,0,715,0
1996,San Luis,15370,0,0,0,0
1996,Santa Cruz,39,0,0,2817,0
1996,Santa Fe,465,0,0,48573,0
1996,Santiago del Estero,1500,0,0,250,0
1996,Tierra del Fuego,93,0,0,12,0
1996,Tucumán,0,0,0,32,0
1997,Buenos Aires,489,334,355,2724,0
1997,Catamarca,0,0,3900,42000,0
1997,Chaco,2711,909,0,4040,0
1997,Chubut,151,40,46,3385,0
1997,Córdoba,22213,169,3773,13362,0
1997,Corrientes,58,50,113,203,0
1997,Entre Ríos,163,353,63,278,0
1997,Formosa,0,4,300,2382,0
1997,Jujuy,0,228,0,46,0
1997,La Pampa,31770,0,10,0,0
1997,La Rioja,0,0,0,25003,0
1997,Mendoza,2450,0,1100,550,0
1997,Misiones,54,1218,259,629,0
1997,Neuquén,40,2,391,16847,0
1997,Río Negro,5154,418,262,4648,0
1997,Salta,23694,1253,7377,7861,0
1997,San Juan,0,13,32,395,0
1997,San Luis,2112,0,2282,2042,0
1997,Santa Cruz,0,9,6003,15369,0
1997,Santa Fe,40,0,38,414,0
1997,Santiago del Estero,500,0,0,7500,0
1997,Tierra del Fuego,23,0,1,124,0
1997,Tucumán,0,0,0,1321,0
1998,Buenos Aires,401,1427,1723,35409,10
1998,Catamarca,500,0,0,1600,0
1998,Chaco,0,0,0,14726,0
1998,Chubut,4045,132,742,2753,0
1998,Córdoba,8817,4,9503,2180,0
1998,Corrientes,0,0,152,163,0
1998,Entre Ríos,8,312,0,141,0
1998,Formosa,0,0,0,711,0
1998,Jujuy,449,45,5,0,0
1998,La Pampa,137265,0,252475,0,0
1998,La Rioja,1802,0,0,19210,0
1998,Mendoza,12403,0,9433,89624,0
1998,Misiones,286,1246,1708,2204,70
1998,Neuquén,68,7,15,12303,0
1998,Río Negro,9384,505,9095,63715,0
1998,Salta,14024,105,3100,5813,0
1998,San Juan,0,1,45,218,0
1998,San Luis,87015,0,24189,35433,0
1998,Santa Cruz,0,0,25,3458,0
1998,Santa Fe,0,0,37,498,0
1998,Santiago del Estero,940,0,639,1130,0
1998,Tierra del Fuego,53,0,0,480,0
1999,Buenos Aires,1028,2899,3166,34482,0
1999,Catamarca,0,0,0,1300,0
1999,Chaco,406,0,150,8825,0
1999,Chubut,8904,9,3388,15136,0
1999,Córdoba,22306,65,0,37562,0
1999,Corrientes,12,2523,10,5631,0
1999,Entre Ríos,7118,9710,0,3409,0
1999,Formosa,0,0,262,5978,0
1999,Jujuy,43,17,42,227,0
1999,La Pampa,34830,0,42440,0,0
1999,La Rioja,3,0,4000,63022,0
1999,Mendoza,26247,945,25436,14612,0
1999,Misiones,1476,948,490,761,0
1999,Neuquén,323,27,4647,123760,0
1999,Río Negro,10871,1167,4585,42762,0
1999,Salta,5865,70,2190,6710,0
1999,San Juan,0,0,147,937,0
1999,San Luis,34729,0,44416,8012,0
1999,Santa Cruz,16,120,6086,12875,0
1999,Santa Fe,44,1,10,309,0
1999,Santiago del Estero,300,0,400,500,0
1999,Tierra del Fuego,89,0,0,125,0
1999,Tucumán,0,10,5,2803,0
2000,Buenos Aires,1116,399,1902,14511,0
